"sum","month"
130.59,2016-03-01 00:00:00.000
157.17,2016-04-01 00:00:00.000
1006.73,2016-05-01 00:00:00.000
1979.74,2016-06-01 00:00:00.000
4021.09,2016-07-01 00:00:00.000
6350.35,2016-08-01 00:00:00.000
3897.55,2016-09-01 00:00:00.000
7007.20,2016-10-01 00:00:00.000
8129.43,2016-11-01 00:00:00.000
9492.07,2016-12-01 00:00:00.000
8054.75,2017-01-01 00:00:00.000
8417.71,2017-02-01 00:00:00.000
9842.93,2017-03-01 00:00:00.000
14316.94,2017-04-01 00:00:00.000
13219.59,2017-05-01 00:00:00.000
15334.40,2017-06-01 00:00:00.000
14972.25,2017-07-01 00:00:00.000
14909.39,2017-08-01 00:00:00.000
14777.34,2017-09-01 00:00:00.000
16083.87,2017-10-01 00:00:00.000
16659.24,2017-11-01 00:00:00.000
22661.21,2017-12-01 00:00:00.000
18529.84,2018-01-01 00:00:00.000
22833.42,2018-02-01 00:00:00.000
23647.89,2018-03-01 00:00:00.000
23474.96,2018-04-01 00:00:00.000
17216.35,2018-05-01 00:00:00.000
17931.31,2018-06-01 00:00:00.000
23066.68,2018-07-01 00:00:00.000
21764.27,2018-08-01 00:00:00.000
23619.69,2018-09-01 00:00:00.000
26838.42,2018-10-01 00:00:00.000
22648.29,2018-11-01 00:00:00.000
30473.63,2018-12-01 00:00:00.000
20917.50,2019-01-01 00:00:00.000
26107.24,2019-02-01 00:00:00.000
29576.60,2019-03-01 00:00:00.000
23345.08,2019-04-01 00:00:00.000
29892.56,2019-05-01 00:00:00.000
32134.70,2019-06-01 00:00:00.000
33008.68,2019-07-01 00:00:00.000
32940.13,2019-08-01 00:00:00.000
28697.46,2019-09-01 00:00:00.000
30052.47,2019-10-01 00:00:00.000
30362.63,2019-11-01 00:00:00.000
28650.95,2019-12-01 00:00:00.000
30272.74,2020-01-01 00:00:00.000
33189.61,2020-02-01 00:00:00.000
38095.33,2020-03-01 00:00:00.000
34769.16,2020-04-01 00:00:00.000
36578.38,2020-05-01 00:00:00.000
39059.55,2020-06-01 00:00:00.000
38214.46,2020-07-01 00:00:00.000
35611.69,2020-08-01 00:00:00.000
35494.04,2020-09-01 00:00:00.000
30894.78,2020-10-01 00:00:00.000
40370.30,2020-11-01 00:00:00.000
35831.27,2020-12-01 00:00:00.000
39003.60,2021-01-01 00:00:00.000
37628.07,2021-02-01 00:00:00.000
38275.16,2021-03-01 00:00:00.000
36832.95,2021-04-01 00:00:00.000
36974.49,2021-05-01 00:00:00.000
1131.29,2021-06-01 00:00:00.000
